task_index,classification_type
aug-cf4-007-bootstrap-00023,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00022,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00021,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00020,Instruction Error
aug-cf4-007-bootstrap-00019,History Error Accumulation
aug-cf4-007-bootstrap-00018,History Error Accumulation
aug-cf4-007-bootstrap-00014,History Error Accumulation
aug-cf4-007-bootstrap-00013,History Error Accumulation
aug-cf4-007-bootstrap-00012,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00011,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00010,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00009,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00008,History Error Accumulation
aug-cf4-007-bootstrap-00007,History Error Accumulation
aug-cf4-007-bootstrap-00006,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00005,History Error Accumulation
aug-cf4-007-bootstrap-00004,History Error Accumulation
aug-cf4-007-bootstrap-00003,Planning Errors (Sub-plan & Action)
aug-cf4-007-bootstrap-00002,Instruction Error
aug-cf4-006-new-00001,Planning Errors (Sub-plan & Action)
aug-cf4-006-new-00000,History Error Accumulation
aug-cf4-005-new-00004,Planning Errors (Sub-plan & Action)
aug-cf4-005-new-00003,History Error Accumulation
aug-cf4-005-new-00001,History Error Accumulation
aug-cf4-005-new-00000,Planning Errors (Sub-plan & Action)
aug-cf4-004-Q30-00000,Planning Errors (Sub-plan & Action)
aug-cf4-004-Q49-00000,False Assumptions
aug-cf4-003-ac-00001,Planning Errors (Sub-plan & Action)
aug-cf4-003-ac-00000,Planning Errors (Sub-plan & Action)
aug-cf4-002-environment-00000,History Error Accumulation
aug-cf4-001-stock-00001,Planning Errors (Sub-plan & Action)
aug-cf4-001-stock-00000,History Error Accumulation
