task_index,classification_type
aug-cf7-007-bootstrap-00023,Instruction Error
aug-cf7-007-bootstrap-00022,History Error Accumulation
aug-cf7-007-bootstrap-00021,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00020,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00018,History Error Accumulation
aug-cf7-007-bootstrap-00017,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00016,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00015,History Error Accumulation
aug-cf7-007-bootstrap-00014,History Error Accumulation
aug-cf7-007-bootstrap-00013,History Error Accumulation
aug-cf7-007-bootstrap-00012,History Error Accumulation
aug-cf7-007-bootstrap-00011,History Error Accumulation
aug-cf7-007-bootstrap-00010,Catastrophic Forgetting
aug-cf7-007-bootstrap-00008,History Error Accumulation
aug-cf7-007-bootstrap-00007,Instruction Error
aug-cf7-007-bootstrap-00006,History Error Accumulation
aug-cf7-007-bootstrap-00005,History Error Accumulation
aug-cf7-007-bootstrap-00004,History Error Accumulation
aug-cf7-007-bootstrap-00003,History Error Accumulation
aug-cf7-007-bootstrap-00002,Instruction Error
aug-cf7-007-bootstrap-00001,Planning Errors (Sub-plan & Action)
aug-cf7-006-new-00001,History Error Accumulation
aug-cf7-006-new-00000,History Error Accumulation
aug-cf7-005-new-00004,History Error Accumulation
aug-cf7-005-new-00003,History Error Accumulation
aug-cf7-005-new-00002,Planning Errors (Sub-plan & Action)
aug-cf7-005-new-00001,History Error Accumulation
aug-cf7-005-new-00000,Catastrophic Forgetting
aug-cf7-004-Q30-00000,Planning Errors (Sub-plan & Action)
aug-cf7-004-Q19-00000,Planning Errors (Sub-plan & Action)
aug-cf7-004-Q49-00000,Planning Errors (Sub-plan & Action)
aug-cf7-004-Q09-00000,Planning Errors (Sub-plan & Action)
aug-cf7-004-N41-00003,Planning Errors (Sub-plan & Action)
aug-cf7-003-ac-00000,Planning Errors (Sub-plan & Action)
aug-cf7-002-environment-00000,False Assumptions
aug-cf7-001-stock-00001,History Error Accumulation
aug-cf7-001-stock-00000,Planning Errors (Sub-plan & Action)
