task_index,classification_type
aug-cf7-007-bootstrap-00023,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00021,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00022,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00020,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00016,History Error Accumulation
aug-cf7-007-bootstrap-00011,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00015,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00017,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00009,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00010,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00004,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00002,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00008,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00001,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00018,Planning Errors (Sub-plan & Action)
aug-cf7-005-new-00002,History Error Accumulation
aug-cf7-005-new-00001,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00014,History Error Accumulation
aug-cf7-005-new-00004,Planning Errors (Sub-plan & Action)
aug-cf7-004-Q30-00000,Planning Errors (Sub-plan & Action)
aug-cf7-007-bootstrap-00007,Planning Errors (Sub-plan & Action)
aug-cf7-005-new-00003,Planning Errors (Sub-plan & Action)
aug-cf7-003-ac-00003,Planning Errors (Sub-plan & Action)
aug-cf7-003-ac-00002,History Error Accumulation
aug-cf7-001-stock-00000,Planning Errors (Sub-plan & Action)
aug-cf7-003-ac-00000,Planning Errors (Sub-plan & Action)
aug-cf7-006-new-00000,Planning Errors (Sub-plan & Action)
aug-cf7-001-stock-00001,Planning Errors (Sub-plan & Action)
aug-cf7-004-Q49-00000,False Assumptions
aug-cf7-007-bootstrap-00005,History Error Accumulation
aug-cf7-005-new-00000,Planning Errors (Sub-plan & Action)
